dataset,condition,classifier,GM,Kappa,MCC,F1,Precision,Recall
cardiotocography,SMOTE,NB,0.8029797936471493,0.1469873396251021,0.24621548362633652,0.1764379358467288,0.10000205809453522,0.79
cardiotocography,SMOTE,RF,0.708450910098686,0.6204963936487672,0.6449684675373223,0.6253015873015874,0.7959999999999999,0.5566666666666666
cardiotocography,SMOTE,SGD-LR,0.7410159621325343,0.22681169558575928,0.2938235673685752,0.2500835397057095,0.1876191809831547,0.7066666666666667
cardiotocography,SMOTE,SVM,0.8239983232145113,0.2428278847842969,0.32594769068498747,0.26692548096252083,0.16512401909799151,0.7616666666666667
cardiotocography,SMOTE,XGBoost,0.7618310390546847,0.6578417846843821,0.6798284924226625,0.663047619047619,0.799,0.6183333333333333
climate,Original,AdaBoost,0.6980107598699742,0.578767320069702,0.6082660222724211,0.6040707070707071,0.8016666666666667,0.527
climate,Original,CART,0.598272257726499,0.39172651910819467,0.4026510980499639,0.4366571761571761,0.47906709956709953,0.43799999999999994
climate,Original,GB,0.5753748028638871,0.45033916291777104,0.4821927037959491,0.4777965367965368,0.6916666666666668,0.396
climate,Original,KNN,0.0,-0.006030037270205314,-0.0076707310081484004,0.0,0.0,0.0
climate,Original,NB,0.622048324969631,0.541058026669645,0.5916051155689551,0.5601746031746031,0.895,0.43799999999999994
climate,Original,RF,0.1620918297406651,0.11917162955355343,0.1565572803684874,0.1260952380952381,0.34,0.07800000000000001
climate,Original,SGD-LR,0.11514973843546386,0.05462528893525562,0.07138090487082818,0.07444303631195388,0.12103934858886867,0.135
climate,Original,SVM,0.0,0.0,0.0,0.0,0.0,0.0
climate,Original,XGBoost,0.6707844442888086,0.56411028793979,0.605241271845616,0.5870397380397381,0.8478333333333333,0.496
climate,RN-SMOTE,AdaBoost,0.8177886597732785,0.47492345452470347,0.5083679275320029,0.532687070067875,0.42850771450771447,0.758
climate,RN-SMOTE,CART,0.6350649042205269,0.3573631865406973,0.36850183597754355,0.4151447441447441,0.3831825396825397,0.489
climate,RN-SMOTE,GB,0.8124849633541595,0.5799825600194988,0.5967413244591627,0.6192981462981463,0.5831367521367521,0.7140000000000001
climate,RN-SMOTE,KNN,0.4129063321274165,-0.027304749169772054,-0.0477216420341076,0.12076117915374551,0.071366275897042,0.40399999999999997
climate,RN-SMOTE,NB,0.8326065805913895,0.5878196369708878,0.6087879492704662,0.6272443928620399,0.5718953823953824,0.7559999999999999
climate,RN-SMOTE,RF,0.624716822193006,0.4880950469797194,0.5074112768795935,0.5174819624819624,0.6472857142857142,0.469
climate,RN-SMOTE,SGD-LR,0.42937511412923857,0.1630164765799267,0.22191391178355638,0.24933474175137588,0.24280479287521053,0.657
climate,RN-SMOTE,SVM,0.2891828835444553,-0.07228262325800407,-0.12996295588580092,0.07761745702498128,0.047458280392828546,0.254
climate,RN-SMOTE,XGBoost,0.7954265050138476,0.6154803901002607,0.6305572698187634,0.647911088911089,0.6753730158730158,0.6759999999999999
climate,SMOTE,AdaBoost,0.8024585418382603,0.4632590371397508,0.49359592691245874,0.5212675190306769,0.42032900432900433,0.732
climate,SMOTE,CART,0.6844912999151278,0.3975368188740211,0.41101805253943907,0.45606544435956203,0.4240555555555555,0.539
climate,SMOTE,GB,0.8064547797244418,0.580337892617661,0.5952335772737368,0.6187670107670108,0.5851825396825396,0.705
climate,SMOTE,KNN,0.42185109012995453,-0.023297025135634263,-0.038753578554741624,0.12510812225627835,0.07331763670039415,0.43700000000000006
climate,SMOTE,NB,0.8030962208571306,0.5743651672062755,0.592016866970662,0.6132844932844933,0.5873650793650793,0.7020000000000001
climate,SMOTE,RF,0.6557117886594424,0.5025940841012144,0.5233113416946913,0.5341645021645022,0.6712857142857144,0.484
climate,SMOTE,SGD-LR,0.507748816438826,0.2517478700299873,0.3023065450518899,0.31953857457677853,0.3499340006684342,0.59
climate,SMOTE,SVM,0.3012128388499361,-0.06873676626996245,-0.12628540254170267,0.08107463724113773,0.04852162941223745,0.27
climate,SMOTE,XGBoost,0.7980911485607701,0.6218818131159487,0.640015059733639,0.6531148296148297,0.6963766233766233,0.6779999999999999
ilpd,Original,AdaBoost,0.4620925814423626,0.1629420731922805,0.1856375528700524,0.3213711703879579,0.5057957940752058,0.26544117647058824
ilpd,Original,CART,0.5660916942499539,0.18800772621906123,0.1904280609731973,0.42204028781173286,0.4190344146936555,0.43625
ilpd,Original,GB,0.5054189231261815,0.1813389113299083,0.1904474811683681,0.36552468222802653,0.4668408114073749,0.31139705882352936
ilpd,Original,KNN,0.5015916298725419,0.13544061418645997,0.13866867927505772,0.35278344981989884,0.40350637460234984,0.3211764705882353
ilpd,Original,NB,0.6154846555433909,0.25083202153196565,0.35390321509101275,0.5553949592412881,0.39249242586310223,0.9557352941176469
ilpd,Original,RF,0.518204072216143,0.2058695194886238,0.2151178590710337,0.384160449256772,0.48473822582646114,0.32955882352941174
ilpd,Original,SGD-LR,0.23239392928562647,0.06678612046686051,0.0886865522196468,0.2103606344277275,0.20597355256235986,0.3171323529411765
ilpd,Original,SVM,0.0,0.0,0.0,0.0,0.0,0.0
ilpd,Original,XGBoost,0.5637173238483556,0.23708446589458987,0.24363092211887014,0.42860319699784905,0.4933372577714683,0.3917647058823529
ilpd,RN-SMOTE,AdaBoost,0.6738125749654487,0.30125370371474786,0.3288466340323966,0.5512176731531939,0.44384257903014607,0.7369117647058823
ilpd,RN-SMOTE,CART,0.5678454928332873,0.189161053817682,0.1925931519482198,0.425065208377702,0.41976029452069297,0.44529411764705884
ilpd,RN-SMOTE,GB,0.640455130413894,0.26366969797251144,0.27384101275767303,0.5065843962071379,0.4417045018471412,0.6049264705882353
ilpd,RN-SMOTE,KNN,0.6235566880525383,0.2230871924510518,0.23642470045692268,0.487373622610005,0.41049326446621004,0.6091176470588235
ilpd,RN-SMOTE,NB,0.6434035971008122,0.2781217416478277,0.3698847944580254,0.5668631893187408,0.40769259707039474,0.9377941176470589
ilpd,RN-SMOTE,RF,0.6267938505097852,0.28509900805503424,0.2893862617207649,0.49378639540955505,0.482722819887371,0.5190441176470588
ilpd,RN-SMOTE,SGD-LR,0.4684554217870657,0.19062575619759342,0.23607263175450185,0.38250822140356655,0.4154946849689359,0.514485294117647
ilpd,RN-SMOTE,SVM,0.6358400526116289,0.24717122195749727,0.30510135369575214,0.5395542898519647,0.3994545451052352,0.8392647058823529
ilpd,RN-SMOTE,XGBoost,0.6154826874143948,0.27880447179959916,0.2829517670658292,0.48350032304915835,0.49111149519704506,0.49044117647058827
ilpd,SMOTE,AdaBoost,0.6536342950714594,0.27306046551816815,0.2917731351880211,0.5250545519624601,0.4359563995640463,0.6718382352941177
ilpd,SMOTE,CART,0.5883101592638003,0.21463047798869225,0.2165608406897098,0.4467911417421828,0.43461545475433616,0.4668382352941176
ilpd,SMOTE,GB,0.5976478792706228,0.22682841324027958,0.23118174811735429,0.4583375856007599,0.4371079323034095,0.4961764705882353
ilpd,SMOTE,KNN,0.6287272548162417,0.22898061364522512,0.24314644389426973,0.4941808006585039,0.4120113616930336,0.6248529411764706
ilpd,SMOTE,NB,0.6293948666657001,0.26360583651744757,0.35976568027291533,0.5603673670793407,0.39993759495895276,0.94375
ilpd,SMOTE,RF,0.6183934139693051,0.27735082186359433,0.28132242262491,0.48514547546284853,0.48590305280337587,0.49904411764705886
ilpd,SMOTE,SGD-LR,0.5041964385107949,0.19070197962974259,0.22887129220613547,0.44721576597856516,0.3861578106049731,0.6463970588235294
ilpd,SMOTE,SVM,0.635348016944752,0.2465858676298023,0.30544810017264834,0.5398127499040563,0.3987259458370764,0.8427941176470588
ilpd,SMOTE,XGBoost,0.6113884772116989,0.272155661042478,0.27545183865905726,0.4779162054268571,0.49048391910732064,0.4776470588235294
internet_ads,Original,AdaBoost,0.6191415170449972,0.524573779857082,0.5479560117627327,0.5308333333333334,0.6895833333333333,0.4708333333333333
internet_ads,Original,CART,0.4515209884758205,0.3422668500505611,0.34473341321363227,0.34964285714285714,0.36,0.35
internet_ads,Original,GB,0.5690879497902882,0.46147427793532697,0.4807537581061271,0.46761904761904766,0.6,0.41666666666666663
internet_ads,Original,KNN,0.41620919657044136,0.34985437775987416,0.39353478391587887,0.35428571428571426,0.6416666666666667,0.25416666666666665
internet_ads,Original,NB,0.8600666119907545,0.4439879449003158,0.49241006991468395,0.4591791541791542,0.3351641414141414,0.7833333333333333
internet_ads,Original,RF,0.6965546217042222,0.6510273967363474,0.6760305317011845,0.6545238095238095,0.8583333333333334,0.5541666666666667
internet_ads,Original,SGD-LR,0.7343816935565204,0.6796562900133611,0.6979138245325378,0.6830952380952381,0.825,0.6166666666666667
internet_ads,Original,SVM,0.4592575476900721,0.40817743135085394,0.4462448413924407,0.41166666666666674,0.675,0.3083333333333333
internet_ads,Original,XGBoost,0.6623671786128622,0.5512023960736495,0.5766115814910311,0.5576190476190476,0.7333333333333333,0.4875
internet_ads,RN-SMOTE,AdaBoost,0.6875872493616255,0.5540589554525716,0.5664698208468977,0.5614285714285714,0.5945833333333332,0.5791666666666666
internet_ads,RN-SMOTE,CART,0.5382503008913192,0.4221016287459392,0.43498554220538554,0.42964285714285716,0.5125,0.4
internet_ads,RN-SMOTE,GB,0.7062032336756235,0.6267841421753477,0.636258731849488,0.6321428571428571,0.6599999999999999,0.6416666666666666
internet_ads,RN-SMOTE,KNN,0.8030912620524168,0.5616338930331259,0.5751468691339179,0.5710714285714286,0.5205952380952381,0.675
internet_ads,RN-SMOTE,NB,0.8600666119907545,0.4439879449003158,0.49241006991468395,0.4591791541791542,0.3351641414141414,0.7833333333333333
internet_ads,RN-SMOTE,RF,0.726631853796295,0.67578119001165,0.6920454196022705,0.6792857142857143,0.8208333333333334,0.6041666666666667
internet_ads,RN-SMOTE,SGD-LR,0.7512465699509882,0.63520530507851,0.6485283938374274,0.6401190476190476,0.6849999999999999,0.65
internet_ads,RN-SMOTE,SVM,0.6986193745570868,0.5825995506295386,0.6022086557850944,0.5878571428571429,0.6858333333333333,0.5708333333333333
internet_ads,RN-SMOTE,XGBoost,0.6614921357281335,0.5775584738840884,0.596608636666885,0.583452380952381,0.7166666666666667,0.5291666666666666
internet_ads,SMOTE,AdaBoost,0.6755722192538129,0.5420491590824913,0.5581922614600676,0.5494047619047618,0.6012500000000001,0.5625
internet_ads,SMOTE,CART,0.5395479724040277,0.42133244204361253,0.43246658436345137,0.42892857142857144,0.5,0.4041666666666666
